Movie Name,Storyline,story_length,word_count,char_length,clean_story
#AAY,"When a man comes home between covid lockdowns, he connects with old friends and falls for a woman who feels influenced by her caste, while finding love.",152,27,152,man comes home covid lockdowns connects old friends falls woman feels influenced caste finding love
#AMFAD: All My Friends Are Dead,"A group of college friends rent an Airbnb for the biggest music festival of the year. A weekend of partying quickly takes a turn, as their past regrets come back and haunt them. A killer then tries to avenge a forgotten, lost friend.",233,43,233,group college friends rent airbnb biggest music festival year weekend partying quickly takes turn past regrets come back haunt killer tries avenge forgotten lost friend
#BFFs,"Four girlfriends' weekend getaway takes a dark turn when secrets come to light. Friendships are tested, lives are upended, and the women question the authenticity of their bonds as deadly events unfold.",202,32,202,four girlfriends weekend getaway takes dark turn secrets come light friendships tested lives upended women question authenticity bonds deadly events unfold
#FamilyMan,One man's world turns upside-down.,34,5,34,one mans world turns upsidedown
#Lifestories,"A collection of six shorts exploring the range of human emotions through diverse protagonists experiencing joy, solitude, guilt, and love's complexities.",153,21,153,collection six shorts exploring range human emotions diverse protagonists experiencing joy solitude guilt loves complexities
#MissingCouple,"A real #vanlife couple were on an adventure to renovate an abandoned farm in middle-of-nowhere Mississippi. Cameras blazing, they chronicled their project on social media. But the farm was full of disturbing surprises, especially at night.",239,36,239,real vanlife couple adventure renovate abandoned farm middleofnowhere mississippi cameras blazing chronicled project social media farm full disturbing surprises especially night
#Models Wanted,The fashion industry's glitz conceals a sinister truth. Would-be models find their aspirations of fame turn into a harrowing battle to stay alive.,146,23,146,fashion industrys glitz conceals sinister truth wouldbe models find aspirations fame turn harrowing battle stay alive
#OOTD: Outfit of the Designer,An Indonesian fashion designer studying in England finds her career compromised by an intoxicating love affair that challenges her dreams and values.,149,22,149,indonesian fashion designer studying england finds career compromised intoxicating love affair challenges dreams values
#RevolutionAnyone,"#RevolutionAnyone is a positive, incredibly timely documentary that says 'yes we can' change our society to better reflect the needs of all its citizens",152,24,152,revolutionanyone positive incredibly timely documentary says yes change society better reflect needs citizens
#Star,A Social media Influencer has attained all the fame she ever needed but her one mistake from the past comes to haunt her.,121,23,121,social media influencer attained fame ever needed one mistake past comes haunt
#UNTRUTH: The Psychology of Trumpism,"Mental health experts analyze disinformation, false narratives, and untruths in American media and culture. It examines how profit-driven enablers and power-seeking politicians create divisions threatening democracy.",216,26,216,mental health experts analyze disinformation false narratives untruths american media culture examines profitdriven enablers powerseeking politicians create divisions threatening democracy
#lovemyselfie,"When acclaimed Adele Swan discovers that her young lover has squandered all her savings and is sleeping with a millennial, she knows it's showtime.",147,24,147,acclaimed adele swan discovers young lover squandered savings sleeping millennial knows showtime
'Descontrol',"A high school student's virtual reality gaming habit evolves into a life-altering struggle, pushing him to rock bottom. Through recovery, he finds a new purpose and dedicates his life to helping others balance technology use.",225,35,225,high school students virtual reality gaming habit evolves lifealtering struggle pushing rock bottom recovery finds new purpose dedicates life helping others balance technology use
'O' by Cirque du Soleil in Shared Reality,"Experience ""O"" by Cirque du Soleil in the groundbreaking new format of Cosm Shared Reality. Cosm is blending the physical space with the digital world to bring you a deeply immersive Cirque du Soleil experience in a new communal format.",236,40,236,experience cirque du soleil groundbreaking new format cosm shared reality cosm blending physical space digital world bring deeply immersive cirque du soleil experience new communal format
(A)diexodos,Some teens trying to succeed in a world that has no way out,59,13,59,teens trying succeed world way
(Pri)sons,"When an underground marketplace of illegal activities is besieged by an army of bloodthirsty assassins, a ragtag group of criminals must band together to fight for survival.",173,27,173,underground marketplace illegal activities besieged army bloodthirsty assassins ragtag group criminals must band together fight survival
"(Re)membering the riots in Afrikaanderwijk in 1972 or guest, host, ghos-ti","In 1972, the arrival of migrant workers led to riots in the Rotterdam neighborhood of Afrikaanderwijk. An explosion of violence ensued, accompanied by a hailstorm of stones and Molotov cocktails. As the current generation recount testimonials, the events are reconstructed and imbued with present-day significance. This effect is amplified through the use of a split screen showing past and present at the same time. In (Re)membering the riots in Afrikaanderwijk in 1972 or guest, host, ghos-ti, visual artist Cihad Caner explores the things we remember and the things we forget and how memories and perspectives are bound to time and place - different for each individual.",673,106,673,arrival migrant workers led riots rotterdam neighborhood afrikaanderwijk explosion violence ensued accompanied hailstorm stones molotov cocktails current generation recount testimonials events reconstructed imbued presentday significance effect amplified use split screen showing past present time remembering riots afrikaanderwijk guest host ghosti visual artist cihad caner explores things remember things forget memories perspectives bound time place different individual
(S)KiDS,"Set in 1993, this edgy punk rock opera follows a group of disaffected teens navigating their last year of high school as they uncover a dark truth about their Principal.",169,30,169,set edgy punk rock opera follows group disaffected teens navigating last year high school uncover dark truth principal
(Un)lucky Sisters,"After their father's death, estranged sisters stumble upon his hidden fortune, forcing them to decide whether to keep the money or do the right thing.",150,25,150,fathers death estranged sisters stumble upon hidden fortune forcing decide whether keep money right thing
*YES I DO*,"Jude, a young groom of Miss Vera Raphael was abducted by his ex-girlfriend Miss Alicia Jones, made to believe his dead. Vera has to pass through a hard test and trial of love to get her man back.",195,38,195,jude young groom miss vera raphael abducted exgirlfriend miss alicia jones made believe dead vera pass hard test trial love get man back
...and Juliet,"The film's author runs audition for a film after Shakespeare's Romeo and Juliet. Three female actors come to try for ""Juliet"". What if Romeo and Juliet luckily survived? Would they have been happy together? This question is answered by yet another audition. The audition is over. A feature film ""Romeo and Juliet"" transforms into ""...and Juliet"" docufiction.",358,57,358,films author runs audition film shakespeares romeo juliet three female actors come try juliet romeo juliet luckily survived would happy together question answered yet another audition audition feature film romeo juliet transforms juliet docufiction
.ask,"Chris Vander Kaay, a YouTuber in his mid-40s, takes a mysterious coach's advice to be brutally honest with his audience. His channel and life improve, but unforeseen darker consequences soon begin to unfold.",207,33,207,chris vander kaay youtuber mids takes mysterious coachs advice brutally honest audience channel life improve unforeseen darker consequences soon begin unfold
/Complication,I made this with the purpose of taking pictures packed with realistic art and lighting.,87,15,87,made purpose taking pictures packed realistic art lighting
0000 Kilometre,A phone call to Izmir while she and Ege are living together in France turns their lives upside down. The caller claims to be Izmir's recently deceased mother.,158,28,158,phone call izmir ege living together france turns lives upside caller claims izmirs recently deceased mother
00:00 Absurdo Error Andinista,"Jorge, a mountaineer, suffered a fall. He uses a stroller and two crutches to walk. At home, he looks through the window and calls friends and neighbors. Domitila, the cook, talks to him. He struggles with tasks. Healed, he quits climbing.",239,41,239,jorge mountaineer suffered fall uses stroller two crutches walk home looks window calls friends neighbors domitila cook talks struggles tasks healed quits climbing
01,"An observational documentary about poet Nanos Valaoritis and painter Marie Wilson during the final years of their shared life in Athens, exploring memory, aging, and artistic creation.",184,27,184,observational documentary poet nanos valaoritis painter marie wilson final years shared life athens exploring memory aging artistic creation
01 Redux,"01 is an experimental documentary about the new possibilities of the digital camera and a train journey from Sant Celoni to Barcelona early in the morning on a Thursday of October 21, 2004.",189,33,189,experimental documentary new possibilities digital camera train journey sant celoni barcelona early morning thursday october
07.03,"Cursed with infertility, a couple must break the curse however they can in order to save their marriage.",104,18,104,cursed infertility couple must break curse however order save marriage
1 Bad Azz Day,The day goes from bad to worse for a young delivery driver. As he tries to navigate life in the southern Alabama city of Mobile.,128,25,128,day goes bad worse young delivery driver tries navigate life southern alabama city mobile
1 Million Followers,A small-town girl who is invited by a popular influencer to a mansion in Thailand where the beautiful mingle as they build Karissa up to a million followers. Things take a dark turn when they discover who the sponsor behind this event is.,238,43,238,smalltown girl invited popular influencer mansion thailand beautiful mingle build karissa million followers things take dark turn discover sponsor behind event
1 Princess Street,It's rather easy to love a person far from home when compared to that person living near to where you live. Our story is set in the crowded suburbs of Mattancherry where two families rent the same house.,203,38,203,rather easy love person far home compared person living near live story set crowded suburbs mattancherry two families rent house
1-800-on-Her-Own,Brilliant singer-songwriter Ani DiFranco balances her passion for creating music with raising children. An intimate glimpse into her unique artistry and modern family life.,172,24,172,brilliant singersongwriter ani difranco balances passion creating music raising children intimate glimpse unique artistry modern family life
10 Days of a Curious Man,"When a young woman goes missing in Istanbul, a jaded writer gets tangled up in a deadly chain of events as he sets out to find her and a good story.",148,31,148,young woman goes missing istanbul jaded writer gets tangled deadly chain events sets find good story
10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey.",227,42,227,pampered cat takes granted lucky hand dealt rescued loved rose kindhearted passionate student loses ninth life fate steps set transformative journey
10 Pasimatymu,"Justelis is a young, good-looking, friendly IT professional who, after drinking too much alcohol at the company Christmas party, accidentally spills his heart to one of his best friends and reveals his deepest secret - he's still a virgin.",239,39,239,justelis young goodlooking friendly professional drinking much alcohol company christmas party accidentally spills heart one best friends reveals deepest secret hes still virgin
10 Things about Sally,Sally feels disconnected from life until she is convinced by her psychiatrist and her friends that dating is the answer.,120,20,120,sally feels disconnected life convinced psychiatrist friends dating answer
10 Years A Dog,A movie star dog suddenly dies leaving his dog handler to deal with the aftermath.,82,15,82,movie star dog suddenly dies leaving dog handler deal aftermath
10/31 Part 4,"On Halloween at midnight, Malvolia hosts the annual Monster Marathon, showcasing four indie horror tales. Filled with the horrors of Halloween, who will survive?",161,24,161,halloween midnight malvolia hosts annual monster marathon showcasing four indie horror tales filled horrors halloween survive
100 Crores,"When Sundarlal finds out about an IT Raid on his properties, he hides 100 Crores in his bungalow. But when he can't find the money and dies in shock. Where did the money go? Was is stolen?",188,37,188,sundarlal finds raid properties hides crores bungalow cant find money dies shock money go stolen
100 litraa sahtia,"Two middle-aged sisters in a Finnish village promise to brew beer for a wedding but drink their entire batch. In a hilarious race against time, they struggle with hangovers while trying to make more beer and save their reputations.",231,39,231,two middleaged sisters finnish village promise brew beer wedding drink entire batch hilarious race time struggle hangovers trying make beer save reputations
"100,000,000,000,000","Julia described palaces, diamonds, and the afterlife to captivated Afine during their night-long conversation in her room, exposing him to a world beyond his knowledge.",168,25,168,julia described palaces diamonds afterlife captivated afine nightlong conversation room exposing world beyond knowledge
100dB Indust-bag,"A poetic punk rock journey of a band from a small town of former Yugoslavia, who stubbornly kept to their own voice, despite its country's 'bad history' and decades of changing trends.",184,32,184,poetic punk rock journey band small town former yugoslavia stubbornly kept voice despite countrys bad history decades changing trends
101 Reasons to Visit South Korea,K-pop K-Beauty K-Movies K-Culture K-Cuisine K-Spiritually,57,6,57,kpop kbeauty kmovies kculture kcuisine kspiritually
1040 km,"In the rehab center of Bastau village, Tailgate gets acquainted with the intern Aliya. He falls in love with her, but cannot tell her about it, for fear of her rejection.",170,31,170,rehab center bastau village tailgate gets acquainted intern aliya falls love cannot tell fear rejection
105 Minutes,"A young woman living independently experiences unsettling occurrences after shopping. As tension builds, the audience joins her thrilling journey into the unknown.",163,22,163,young woman living independently experiences unsettling occurrences shopping tension builds audience joins thrilling journey unknown
10FT Down,"In a late-night bar, two strangers ignite a chilling descent into madness, blurring the lines between captor and captive in a thrilling psychological game.",155,24,155,latenight bar two strangers ignite chilling descent madness blurring lines captor captive thrilling psychological game
11 Días en Ayacucho,"A group of students from Lima embarks on a volunteer trip to four rural communities in Ayacucho, discovering the problems and dreams that some of the most forgotten residents of Peru have.",188,32,188,group students lima embarks volunteer trip four rural communities ayacucho discovering problems dreams forgotten residents peru
11 Rebels,"Amidst the Boshin War's brutal conflicts, a motley squad of criminals and samurai undertakes a desperate defense of a fortress, their stand triggered by clashing interests of the Shibata clan, the shogunate, and the new government.",231,36,231,amidst boshin wars brutal conflicts motley squad criminals samurai undertakes desperate defense fortress stand triggered clashing interests shibata clan shogunate new government
1134,"Inspired from real ATM robberies that took place in Hyderabad, revolves around a series of sequential ATM robberies that have a pattern. Will the robbers be caught?",164,27,164,inspired real atm robberies took place hyderabad revolves around series sequential atm robberies pattern robbers caught
11:11,"11:11 is about an outcast writer who, due to his troubled state of mind, lives in a derelict house with his delusions. He is suddenly threatened by mysterious figures in black to write a story they want. Otherwise, at exactly 11:11, they will raid his house and not eliminate him, but force him to comply with their demands in their own way, which is worse than annihilation. Now he is caught in a dilemma between staying and submitting or erasing himself before the appointed time.",482,85,482,outcast writer due troubled state mind lives derelict house delusions suddenly threatened mysterious figures black write story want otherwise exactly raid house eliminate force comply demands way worse annihilation caught dilemma staying submitting erasing appointed time
12 Baes of Christmas,"Simone's perfect life unravels after her boyfriend cheats. She loses credibility but her friends convince her to embark on a 'ho phase', hilariously navigating the dating world to find a new Christmas romance.",209,33,209,simones perfect life unravels boyfriend cheats loses credibility friends convince embark ho phase hilariously navigating dating world find new christmas romance
12 Digit Masterstroke: The untold story of Aadhar,"Explores logistical, technological and political challenges faced by the team, spearheaded by tech wizard Nandan Nilekani, in aiming to achieve something that no one had attempted before in India.",196,29,196,explores logistical technological political challenges faced team spearheaded tech wizard nandan nilekani aiming achieve something one attempted india
12 Gaun,"A son's quest for vengeance against a tyrannical village chief who murdered his parents. The chief rules through fear, oppressing villagers with his gang, forbidding escape. The son must confront the chief's ruthless reign to seek justice.",239,37,239,sons quest vengeance tyrannical village chief murdered parents chief rules fear oppressing villagers gang forbidding escape son must confront chiefs ruthless reign seek justice
12 Hours on the Streets,"Mack who on a cold morning, bombs into hard drugs owned by a highly profiled media personality. After being rejected at many sales point, he makes a hasty decision. Unfortunately, these drugs get missing, his life is hunted.",224,38,224,mack cold morning bombs hard drugs owned highly profiled media personality rejected many sales point makes hasty decision unfortunately drugs get missing life hunted
12 anni matti,"A touching documentary chronicling the 12-year history of the IESA project in Modena, where families open their doors to adults with mental health struggles, offering a unique path to rehabilitation through shared daily life.",225,34,225,touching documentary chronicling year history iesa project modena families open doors adults mental health struggles offering unique path rehabilitation shared daily life
12 to Midnight,"A detective, despondent after the murder of his wife and forced to resign, is brought back to the force when a serial killer appears to be taunting him and turns out to be superhuman.",183,34,183,detective despondent murder wife forced resign brought back force serial killer appears taunting turns superhuman
13th Summer,"During their annual vacation at an isolated beach, Ben and Vee unexpectedly encounter a mysterious backpacker who draws them into a twisted web of lies, deceit and ultimately, revenge.",184,29,184,annual vacation isolated beach ben vee unexpectedly encounter mysterious backpacker draws twisted web lies deceit ultimately revenge
14,"Just before the election, the sudden death of the son of the chief minister and a girl ignites a media frenzy and public speculation. This clash of egos sparks a covert investigation by retired IAS officers.",207,36,207,election sudden death son chief minister girl ignites media frenzy public speculation clash egos sparks covert investigation retired ias officers
14 Days Love,"During COVID lockdown, Chitra stays with her aunt and brother-in-law Chinna in Hyderabad. As they spend time together, forbidden feelings develop between Chitra and Chinna, threatening family harmony.",200,28,200,covid lockdown chitra stays aunt brotherinlaw chinna hyderabad spend time together forbidden feelings develop chitra chinna threatening family harmony
14 Days to Feel Better,"Ambitious executive Maxime is headed for burnout days before his wedding to the boss's daughter. His brother-in-law sends him to a retreat led by unusual ""healers."" Maxime faces 14 days of bizarre new age activities that test his beliefs.",238,39,238,ambitious executive maxime headed burnout days wedding bosss daughter brotherinlaw sends retreat led unusual healers maxime faces days bizarre new age activities test beliefs
142 hronia,"Thousands of refugees are held in Greek prisons convicted as smugglers. The internationally acclaimed rescuer Iasonas Apostolopoulos is participating in a campaign to save three innocent people: one sentenced to 142 years in prison, and the other two to 50 years each. In a courtroom thriller that has lasted more than a year, will their struggle for freedom be successful?",373,60,373,thousands refugees held greek prisons convicted smugglers internationally acclaimed rescuer iasonas apostolopoulos participating campaign save three innocent people one sentenced years prison two years courtroom thriller lasted year struggle freedom successful
150 Years of Tradition- The Centre County Grange Fair,"In a world where time stands still and memories are woven into the fabric of our lives, there exists a place where tradition reigns supreme. Journey with us to the Centre County Grange Fair, where generations come together to celebrate the timeless beauty of community, culture, and camaraderie. It's more than just a fair. It's a tradition that's been passed down through generations. Discover the heartwarming stories that make the Centre County Grange Fair a cherished tradition for all who visit. Join us as we embark on a journey through 150 years of tradition, laughter, and memories.",590,97,590,world time stands still memories woven fabric lives exists place tradition reigns supreme journey us centre county grange fair generations come together celebrate timeless beauty community culture camaraderie fair tradition thats passed generations discover heartwarming stories make centre county grange fair cherished tradition visit join us embark journey years tradition laughter memories
1506 - The Lisbon Genocide,The move shows a massacre against the Jews in Middle Age Lisbon that has been largely forgotten. On 19th April 1506 began the three-day massacre in which catholics assassinated about three thousand Jews in Lisbon and absolved for their sins. This 20 minutes docudrama explains the leading causes and events of the massacre.,323,53,323,move shows massacre jews middle age lisbon largely forgotten th april began threeday massacre catholics assassinated three thousand jews lisbon absolved sins minutes docudrama explains leading causes events massacre
1600 Meter,1600 Meter is feature film based on Haryana.,44,8,44,meter feature film based haryana
1710 Bunker Hill Avenue,"Six months have passed since the ""Ascension Event"" and the Soliatite invasion of planet Earth. Mason Redgrave scours the wasteland with the help of his virtual companion Riley-B12 as they search for answers regarding The Astral Brotherhood.",240,37,240,six months passed since ascension event soliatite invasion planet earth mason redgrave scours wasteland help virtual companion rileyb search answers regarding astral brotherhood
1776: Thierno Souleymane Baal et la révolution du Fouta,"1776: Ceerno Suleyman Baal and the Revolution of Fuuta This historical docudrama traces the life of Ceerno Suleyman Baal, an 18th-century Islamic scholar and visionary leader from northern Senegal. Through spiritual wisdom, strategic diplomacy, and quiet resistance, he led one of West Africa's most transformative revolutions. In 1776, Baal overthrew a centuries-old dynasty and helped establish a new state rooted in justice, merit, and equality. His story unfolds across deserts, universities, and battlefields, revealing how one man's belief in dignity and reform reshaped the future of Fuuta Tooro-and left a lasting mark on African history.",646,95,646,ceerno suleyman baal revolution fuuta historical docudrama traces life ceerno suleyman baal thcentury islamic scholar visionary leader northern senegal spiritual wisdom strategic diplomacy quiet resistance led one west africas transformative revolutions baal overthrew centuriesold dynasty helped establish new state rooted justice merit equality story unfolds across deserts universities battlefields revealing one mans belief dignity reform reshaped future fuuta tooroand left lasting mark african history
18×2 Beyond Youthful Days,"Jimmy grows close to Ami, a Japanese backpacker, during one summer, then she leaves suddenly. Years later, a postcard draws him to Japan to face his first love and reflect on who he has become.",193,35,193,jimmy grows close ami japanese backpacker one summer leaves suddenly years later postcard draws japan face first love reflect become
1946 Direct Action Day,"The tragic events of August 16, 1946 - one of the darkest chapters in the history of Bengal. The communal violence that erupted on that day that deeply affected the lives of countless people of the region.",205,37,205,tragic events august one darkest chapters history bengal communal violence erupted day deeply affected lives countless people region
1952: The Invasion of Washington,"In July 1952, Washington, D.C. witnessed an extraordinary UFO wave that alarmed President Truman and the CIA. The mystery lingers.",130,20,130,july washington dc witnessed extraordinary ufo wave alarmed president truman cia mystery lingers
Walka o nadzieje,"The film tells the story of the first world boxing championships in post-war Poland - a cult sport at that time. In ruined Warsaw, legendary coach Feliks Stamm must rebuild the Polish boxing team to face the most powerful team in the world - the USSR. This event has not only a sporting but also a political dimension. The most successful boxers will fight in Polish colors.",374,67,374,film tells story first world boxing championships postwar poland cult sport time ruined warsaw legendary coach feliks stamm must rebuild polish boxing team face powerful team world ussr event sporting also political dimension successful boxers fight polish colors
1963,"Mick Black shares his harrowing tale, revealing the origins of the Frome child in a narrative so shocking it could shatter anyone who hears it. In the midst of this, Dot devises a clever scheme to help Mick in orchestrating a few mishaps.",238,43,238,mick black shares harrowing tale revealing origins frome child narrative shocking could shatter anyone hears midst dot devises clever scheme help mick orchestrating mishaps
1978,"During the World Cup final between Argentina and Holland, in times of military dictatorship, a group of torturers kidnap a group of young people. What begins as an inhumane interrogation turns into hell: the wrong group has been kidnapped.",239,39,239,world cup final argentina holland times military dictatorship group torturers kidnap group young people begins inhumane interrogation turns hell wrong group kidnapped
1980 Lo Radhekrishna,In 1980 How Krishna won love in the battle between caste and love in a village called Krishna Lanka. How he changed the gallows from caste madness. The story of how Radha won Krishna's love.,190,35,190,krishna love battle caste love village called krishna lanka changed gallows caste madness story radha krishnas love
1995,A man embarks on a journey to shoot 20 short films around the world for a reality series.,89,18,89,man embarks journey shoot short films around world reality series
1999 Hiraeth,The choices made by Ramfangzaua sets off a chain reaction that influences not only his life but the lives of those around him.,126,23,126,choices made ramfangzaua sets chain reaction influences life lives around
1K,"Two young men, down on their luck, are unexpectedly bound by a Lagos bus conductors prank. With just 1 thousand naira, they navigate each other's worlds, forging an unlikely bond amid danger and drama.",201,34,201,two young men luck unexpectedly bound lagos bus conductors prank thousand naira navigate others worlds forging unlikely bond amid danger drama
1st Japan Horror Film Competition: Winning Works,A collection of 7 short films that won the first Japan horror film competition.,79,14,79,collection short films first japan horror film competition
2 Asunder,"FAMILY, LOVE, SECRETS. BETRAYAL. A blushing bride, a determined groom, a treacherous best man and an overbearing matriarch, fighting against a ticking clock of deep dark secrets that threaten to end this wealthy family.",219,34,219,family love secrets betrayal blushing bride determined groom treacherous best man overbearing matriarch fighting ticking clock deep dark secrets threaten end wealthy family
2 Days in Quito,"A young taxi driver desperate to change his stars, earns a life changing opportunity, but when all is not as it seems, he finds his whole world irreparably altered in two eventful days.",185,33,185,young taxi driver desperate change stars earns life changing opportunity seems finds whole world irreparably altered two eventful days
2 Fingers Honey 2,"The sequel to the movie ""2 Fingers Honey"" by Ermal Mamaqi. The adventures of the newly married couple continue. This time, they leave for a family vacation to Turkey but mix up their plane tickets and end up at the wrong airport.",229,42,229,sequel movie fingers honey ermal mamaqi adventures newly married couple continue time leave family vacation turkey mix plane tickets end wrong airport
2 Sides of Beauty,Bontle is an ambitious and materialistic woman living in a bustling city. She has a clear vision of her future: marrying a wealthy man who can provide the luxurious life she craves.,181,32,181,bontle ambitious materialistic woman living bustling city clear vision future marrying wealthy man provide luxurious life craves
2 Steps Forward,"""Davis, dealing with a loss of a loved one confides in his close friend Eric which leads to the question if God abandons people""",128,24,128,davis dealing loss loved one confides close friend eric leads question god abandons people
200% Wolf,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon spirit on Earth, Freddy must restore the cosmic order before the earth and moon collide.",184,30,184,freddy lupins wayward wish transforms werewolf deposits mischievous moon spirit earth freddy must restore cosmic order earth moon collide
2000s: Bad Fellas,"Four friends become members of a criminal group. The guys make their way in the criminal world and sink deeper and deeper into it, but a chain of fatal events with criminal showdowns, shootings and police raids put the lives of the protagonists on the line. The 2000s is a time of changes and the beginning of a new stage.",322,60,322,four friends become members criminal group guys make way criminal world sink deeper deeper chain fatal events criminal showdowns shootings police raids put lives protagonists line time changes beginning new stage
2001: Creating Kubrick's Space Odyssey,"2001: CREATING KUBRICK'S SPACE ODYSSEY chronicles the creation of one of the most influential films in the history of cinema. This new documentary examines the work of legendary director Stanley Kubrick and iconic novelist Arthur C. Clarke in creating what they called ""the proverbial good science fiction movie."" Filmmaker Roger Lay, Jr. tackles the enigmatic film through interviews with 2001 star Keir Dullea (who played astronaut Dave Bowman) and choreographer Dan Richter (who played Moonwatcher, the proto-human ape who learned to use the first tool). Both provide personal insights into their work on the groundbreaking film.",632,96,632,creating kubricks space odyssey chronicles creation one influential films history cinema new documentary examines work legendary director stanley kubrick iconic novelist arthur c clarke creating called proverbial good science fiction movie filmmaker roger lay jr tackles enigmatic film interviews star keir dullea played astronaut dave bowman choreographer dan richter played moonwatcher protohuman ape learned use first tool provide personal insights work groundbreaking film
2004,"When Megan discovers that she is pregnant with her long term, on again - off again, relationship John Sweeney, she must also face to harrowing medical consequences. John too must face the effects of his past and his own vices in the face of fatherhood.",252,45,252,megan discovers pregnant long term relationship john sweeney must also face harrowing medical consequences john must face effects past vices face fatherhood
200KG Vampire,"The residents of Kampung Terbalik become victims of attacks by Pontianak Melati and Pontianak Mewangi, who are constantly hungry. The situation becomes even more chaotic when the villagers mistakenly believe that they are blood-sucking pontianaks, causing many villagers to fall into comas.",290,42,290,residents kampung terbalik become victims attacks pontianak melati pontianak mewangi constantly hungry situation becomes even chaotic villagers mistakenly believe bloodsucking pontianaks causing many villagers fall comas
2015: Future Uncertain,"In the year 2015, a disgraced space commander stumbles upon a top-secret mission to save planet Earth from uncertainty.",119,19,119,year disgraced space commander stumbles upon topsecret mission save planet earth uncertainty
2024 Oscar Nominated Short Films: Animation,"The five short animated films nominated for the 2024 Academy Awards, along with two other films that were highly commended.",123,20,123,five short animated films nominated academy awards along two films highly commended
2024 Oscar Nominated Short Films: Live Action,ShortTV's annual compilation film showcasing the five 2024 Oscar-nominated contending for short films in Best Live-Action Short Film category.,142,19,142,shorttvs annual compilation film showcasing five oscarnominated contending short films best liveaction short film category
2024 Pokémon World Championships,"The 2024 Pokémon World Championships is the capstone event of the 2024 Championship Series season, and players from all around the world will battle for the title of World Champion.",181,30,181,pokmon world championships capstone event championship series season players around world battle title world champion
2053 - A Best Case Scenario,In the year of 2053 activists and experts are looking back on how humanity made a great shift by creating a peaceful and sustainable world.,139,25,139,year activists experts looking back humanity made great shift creating peaceful sustainable world
2054: The Wreckoning,"In a time where super abilities are banned world-wide, how can Luna Birmingham (Zosia Vogan) and her best friend Riley Thatcher (Isabella Ityvaskase) survive the onslaught of innocent Scourges? And what's worse, The Boss is plotting something sinister.",252,38,252,time super abilities banned worldwide luna birmingham zosia vogan best friend riley thatcher isabella ityvaskase survive onslaught innocent scourges whats worse boss plotting something sinister
2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.,81,15,81,woman living ruined earth tries comprehend world destroyed
21 Numara: Askin Tadi,"Melike is a young woman who works as a food critic in a magazine. Melike, who left work, goes to Bodrum after receiving a phone call. Melike's path crosses with chef Aydin in Bodrum.",182,34,182,melike young woman works food critic magazine melike left work goes bodrum receiving phone call melikes path crosses chef aydin bodrum
21.4,"Samar, a 2nd-year medical student, wonders if the soul has weight. He asks his professor for permission to conduct an experiment to measure it, but his professor refuses, citing it as inhuman and against the law.",212,36,212,samar ndyear medical student wonders soul weight asks professor permission conduct experiment measure professor refuses citing inhuman law
215 Miles,A filmmaker is informed that his mother has died and decides to document the trip with his partner while driving 215 miles to Boston from NYC.,142,26,142,filmmaker informed mother died decides document trip partner driving miles boston nyc
22 Words: Exposing the Loss of Decency in American Education,Pastor John Amanchukwu is on a mission to get school boards across America to ban as many books as possible if they don't align with his religious beliefs.,155,28,155,pastor john amanchukwu mission get school boards across america ban many books possible dont align religious beliefs
23 Mile,"Part verité essay, part political diary, 23 MILE is an experimental nonfiction film following Americans during cataclysmic events in the Midwestern swing state of Michigan throughout 2020-- including the plot to kidnap governor Whitmer-- painting a portrait of a populace that defies media stereotypes. A document of complex discourse, the film forces viewers to question their own assumptions about race, class, social status and geographical demographics, drawing a surprisingly hopeful human portrait against the foreboding backdrop of societal instability.",560,79,560,part verit essay part political diary mile experimental nonfiction film following americans cataclysmic events midwestern swing state michigan throughout including plot kidnap governor whitmer painting portrait populace defies media stereotypes document complex discourse film forces viewers question assumptions race class social status geographical demographics drawing surprisingly hopeful human portrait foreboding backdrop societal instability
