Movie Name,Storyline,story_length,word_count,char_length,clean_story
Deaf Lovers,"During the war, Ukrainian Sonya meets Russian Danya in Istanbul. Both struggle with basic needs and share desires for fun and romance, while confronting their past and planning a future together.",195,31,195,war ukrainian sonya meets russian danya istanbul struggle basic needs share desires fun romance confronting past planning future together
The Ceremony Is About to Begin,"Madness, mayhem, and mummification rites ensue when a documentary filmmaker visits the rural commune of an ancient Egyptian inspired cult to interview its enigmatic leader.",172,25,172,madness mayhem mummification rites ensue documentary filmmaker visits rural commune ancient egyptian inspired cult interview enigmatic leader
The West Sky,"The story of Asman Gharb deals with the early days of the war and the role of Ali Akbar Shiroudi. In this movie starring Milad K. Maram, Ali Akbar Shiroudi's personality and lofty thinking are well displayed.",208,37,208,story asman gharb deals early days war role ali akbar shiroudi movie starring milad k maram ali akbar shiroudis personality lofty thinking well displayed
Zak & Wowo: The Legend of Lendarys,"At the heart of an imaginary world populated by fantastical creatures and dangerous monsters, the 13 year-old Zak goes in search of his twin brother Kyle, who has disappeared mysteriously. Equipped with a magical jade stone whose superpowers he doesn't yet know how to control, he is joined by his grandmother NaïNaï and Indiana, a beautiful outlaw who can communicate with the world's fantastical creatures. But he is also flanked by Wowo, formerly a 3 meter-tall furry pachyderm, now turned into a tiny, cute and wacky furball by the magical jade stone.",555,92,555,heart imaginary world populated fantastical creatures dangerous monsters yearold zak goes search twin brother kyle disappeared mysteriously equipped magical jade stone whose superpowers doesnt yet know control joined grandmother nana indiana beautiful outlaw communicate worlds fantastical creatures also flanked wowo formerly metertall furry pachyderm turned tiny cute wacky furball magical jade stone
Addy Daddy,A lonely young man introduces his new girlfriend to his parents and they immediately hate her for no reason.,108,19,108,lonely young man introduces new girlfriend parents immediately hate reason
Rändajad,"A story about three Estonian-Siberian women of different generations whose ancestors were deported from Estonia to Siberia in the 19th century under the Imperial Russian penal system. Instead of prison, they ended up in paradise - a fertile land where people quickly rebuilt their lives. 170 years later, the situation has reversed: while some have already fully assimilated into the local community, for others, it is the last opportunity to escape the war and to once again travel to paradise, this time making the opposite journey from Siberia to the land of their ancestors, Estonia.",587,95,587,story three estoniansiberian women different generations whose ancestors deported estonia siberia th century imperial russian penal system instead prison ended paradise fertile land people quickly rebuilt lives years later situation reversed already fully assimilated local community others last opportunity escape war travel paradise time making opposite journey siberia land ancestors estonia
Tales Beyond the Galaxy,"Astronauts discover alarming evidence on a vacant planet. When catastrophe strikes, one searches for lost crew. A woman faces her history in space. Failed systems threaten a habitat. Two lost astronauts drift, seeking their vessel.",231,35,231,astronauts discover alarming evidence vacant planet catastrophe strikes one searches lost crew woman faces history space failed systems threaten habitat two lost astronauts drift seeking vessel
Who's Watching Us,"When Ruth is hired to babysit for the Harris family, her and the kids find out that someone else is watching them closely. Ruth and Jasmine has to fight to protect themselves and her little brother Micah.",204,37,204,ruth hired babysit harris family kids find someone else watching closely ruth jasmine fight protect little brother micah
Hope,"A family loses a child, but Faith keeps them together. The daughter Hope comes back to be with the family to help them get through the transition of losing her, but only her sister can see her, and talk to her. It's a Christian film.",233,45,233,family loses child faith keeps together daughter hope comes back family help get transition losing sister see talk christian film
Twiggy,"UK model and cultural icon Twiggy, real name Lesley Lawson, whose career kickstarted in the 1960s.",98,16,98,uk model cultural icon twiggy real name lesley lawson whose career kickstarted
